"#comment tokens","#prog. conc","#prob. conc","descriptive","operative","conditional","#scope_symbols","#scope_functions","scope_compound_statement1s","scope_param","scope_line_numbers","prog_dom_match_identifiers","prob_dom_match_identifiers","copyright_license_comments","libraries"
2,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
11,0,0,1.0,1.0,0,0.30000000000000004,0.1,0.1,0.1,114,0,0,0,0
15,5,0,1.1,1.9000000000000001,1,0.30000000000000004,0.1,0.1,0.1,8,0,0,0,0
3,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
2,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
41,13,0,3.3000000000000003,5.7,2,0.30000000000000004,0.1,0.1,0.1,13,3,0,0,0
19,4,0,2.0,2.0,1,0.30000000000000004,0.1,0.1,0.1,8,4,0,0,0
6,3,0,0.9,0.1,1,0.30000000000000004,0.1,0.1,0.1,4,2,0,0,0
4,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
23,6,0,1.1,1.9000000000000001,1,0.30000000000000004,0.1,0.1,0.1,10,0,0,0,0
3,1,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,22,22,0,0,0
1,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
2,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
16,1,0,0.30000000000000004,2.7,1,0.30000000000000004,0.1,0.1,0.1,3,0,0,0,0
4,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
2,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
12,1,0,1.1,1.9000000000000001,0,0.30000000000000004,0.1,0.1,0.1,13,0,0,0,0
5,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,15,0,0,0,0
3,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
7,1,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,37,0,0,0,0
2,0,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
1,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
4,2,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
7,2,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,22,0,0,0,0
3,1,0,0.1,0.9,0,0.30000000000000004,0.1,0.1,0.1,5,0,0,0,0
1,0,0,0.9,0.1,0,0.30000000000000004,0.1,0.1,0.1,1,0,0,0,0
